2025-04-09 23:11:02,752 INFO    StreamThr :3829876 [internal.py:wandb_internal():86] W&B internal server running at pid: 3829876, started at: 2025-04-09 23:11:02.752437
2025-04-09 23:11:02,754 DEBUG   HandlerThread:3829876 [handler.py:handle_request():146] handle_request: status
2025-04-09 23:11:02,756 INFO    WriterThread:3829876 [datastore.py:open_for_write():85] open: /home/ghazal/Documents/NS_Projects/NS_Revised_P1/neural_decoding/outputs/logs/lstm_2025-04-09_23-11-01/wandb/run-20250409_231102-i51nxuwd/run-i51nxuwd.wandb
2025-04-09 23:11:02,756 DEBUG   SenderThread:3829876 [sender.py:send():380] send: header
2025-04-09 23:11:02,759 DEBUG   SenderThread:3829876 [sender.py:send():380] send: run
2025-04-09 23:11:02,960 INFO    SenderThread:3829876 [dir_watcher.py:__init__():211] watching files in: /home/ghazal/Documents/NS_Projects/NS_Revised_P1/neural_decoding/outputs/logs/lstm_2025-04-09_23-11-01/wandb/run-20250409_231102-i51nxuwd/files
2025-04-09 23:11:02,960 INFO    SenderThread:3829876 [sender.py:_start_run_threads():1122] run started: i51nxuwd with start time 1744254662.752323
2025-04-09 23:11:02,966 DEBUG   HandlerThread:3829876 [handler.py:handle_request():146] handle_request: check_version
2025-04-09 23:11:02,966 DEBUG   SenderThread:3829876 [sender.py:send_request():407] send_request: check_version
2025-04-09 23:11:03,035 DEBUG   HandlerThread:3829876 [handler.py:handle_request():146] handle_request: run_start
2025-04-09 23:11:03,040 DEBUG   HandlerThread:3829876 [system_info.py:__init__():32] System info init
2025-04-09 23:11:03,040 DEBUG   HandlerThread:3829876 [system_info.py:__init__():47] System info init done
2025-04-09 23:11:03,040 INFO    HandlerThread:3829876 [system_monitor.py:start():194] Starting system monitor
2025-04-09 23:11:03,040 INFO    SystemMonitor:3829876 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-04-09 23:11:03,041 INFO    HandlerThread:3829876 [system_monitor.py:probe():214] Collecting system info
2025-04-09 23:11:03,041 INFO    SystemMonitor:3829876 [interfaces.py:start():190] Started cpu monitoring
2025-04-09 23:11:03,041 INFO    SystemMonitor:3829876 [interfaces.py:start():190] Started disk monitoring
2025-04-09 23:11:03,042 INFO    SystemMonitor:3829876 [interfaces.py:start():190] Started gpu monitoring
2025-04-09 23:11:03,042 INFO    SystemMonitor:3829876 [interfaces.py:start():190] Started memory monitoring
2025-04-09 23:11:03,043 INFO    SystemMonitor:3829876 [interfaces.py:start():190] Started network monitoring
2025-04-09 23:11:03,053 DEBUG   HandlerThread:3829876 [system_info.py:probe():196] Probing system
2025-04-09 23:11:03,054 DEBUG   HandlerThread:3829876 [system_info.py:_probe_git():181] Probing git
2025-04-09 23:11:03,058 DEBUG   HandlerThread:3829876 [system_info.py:_probe_git():189] Probing git done
2025-04-09 23:11:03,058 DEBUG   HandlerThread:3829876 [system_info.py:probe():244] Probing system done
